    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Finished `release` profile [optimized] target(s) in 0.05s
     Running `target/release/tester ../a.out`
Iteration: 10000, Current cost: 120774, Best cost: 120536, max_g_num: 9, Temp: 125.244992 
Iteration: 20000, Current cost: 123800, Best cost: 119950, max_g_num: 9, Temp: 120.073928 
Iteration: 30000, Current cost: 121354, Best cost: 119950, max_g_num: 9, Temp: 115.228459 
Iteration: 40000, Current cost: 120843, Best cost: 118969, max_g_num: 8, Temp: 110.271835 
Iteration: 50000, Current cost: 120062, Best cost: 118221, max_g_num: 8, Temp: 105.504803 
Iteration: 60000, Current cost: 119111, Best cost: 117483, max_g_num: 8, Temp: 100.958636 
Iteration: 70000, Current cost: 116919, Best cost: 116267, max_g_num: 7, Temp: 96.078032 
Iteration: 80000, Current cost: 116046, Best cost: 115674, max_g_num: 7, Temp: 90.834760 
Iteration: 90000, Current cost: 116058, Best cost: 113168, max_g_num: 7, Temp: 85.706142 
Iteration: 100000, Current cost: 113477, Best cost: 113159, max_g_num: 6, Temp: 80.760407 
Iteration: 110000, Current cost: 114326, Best cost: 113159, max_g_num: 6, Temp: 76.510058 
Iteration: 120000, Current cost: 112369, Best cost: 111767, max_g_num: 6, Temp: 71.966779 
Iteration: 130000, Current cost: 111373, Best cost: 111083, max_g_num: 6, Temp: 67.291171 
Iteration: 140000, Current cost: 112059, Best cost: 110798, max_g_num: 5, Temp: 62.818378 
Iteration: 150000, Current cost: 111577, Best cost: 110798, max_g_num: 5, Temp: 57.227887 
Iteration: 160000, Current cost: 110566, Best cost: 110566, max_g_num: 5, Temp: 51.236938 
Iteration: 170000, Current cost: 111184, Best cost: 110473, max_g_num: 4, Temp: 46.826296 
Iteration: 180000, Current cost: 109926, Best cost: 109874, max_g_num: 4, Temp: 42.564329 
Iteration: 190000, Current cost: 109760, Best cost: 109696, max_g_num: 4, Temp: 36.796327 
Iteration: 200000, Current cost: 110184, Best cost: 109696, max_g_num: 3, Temp: 32.136186 
Iteration: 210000, Current cost: 109536, Best cost: 109470, max_g_num: 3, Temp: 27.391103 
Iteration: 220000, Current cost: 109641, Best cost: 109318, max_g_num: 3, Temp: 21.477342 
Iteration: 230000, Current cost: 109590, Best cost: 109318, max_g_num: 2, Temp: 16.234134 
Iteration: 240000, Current cost: 109312, Best cost: 109298, max_g_num: 2, Temp: 9.174173 
Iteration: 250000, Current cost: 109245, Best cost: 109241, max_g_num: 2, Temp: 3.575950 
Iteration: 254994, Best cost: 109236 
Score = 204028
